damage,uid,file,area
minor-damage,c112f7b8-bc78-41c2-bbaf-76045c5a63ec,data/train/classification_images/c112f7b8-bc78-41c2-bbaf-76045c5a63ec.png,42432
minor-damage,700efd81-2bf7-4702-b89a-760cc723b1fa,data/train/classification_images/700efd81-2bf7-4702-b89a-760cc723b1fa.png,16488
minor-damage,613366fe-87b5-4653-87fe-cd1b4f3ffc6c,data/train/classification_images/613366fe-87b5-4653-87fe-cd1b4f3ffc6c.png,31768
minor-damage,238f8100-b63d-4ee3-aa17-c3fcf1be21a0,data/train/classification_images/238f8100-b63d-4ee3-aa17-c3fcf1be21a0.png,50193
minor-damage,6ef1c766-248f-4c69-93e6-23218b5210eb,data/train/classification_images/6ef1c766-248f-4c69-93e6-23218b5210eb.png,22800
minor-damage,d3eadb2e-e5aa-4200-a23e-1cbc68983a08,data/train/classification_images/d3eadb2e-e5aa-4200-a23e-1cbc68983a08.png,52440
minor-damage,9f12df54-172b-4262-b67e-55a63f7cc4bb,data/train/classification_images/9f12df54-172b-4262-b67e-55a63f7cc4bb.png,1632
minor-damage,c10d1d26-36e5-4897-8d1e-e527eb93c329,data/train/classification_images/c10d1d26-36e5-4897-8d1e-e527eb93c329.png,11235
minor-damage,a33f229f-3a4b-4cad-b4ac-d52166ef6517,data/train/classification_images/a33f229f-3a4b-4cad-b4ac-d52166ef6517.png,5885
minor-damage,cbda4e00-2fc4-47af-a741-10f3cae05cf0,data/train/classification_images/cbda4e00-2fc4-47af-a741-10f3cae05cf0.png,17557
minor-damage,46b32d3d-778f-4596-8fe4-9e9157d0d01a,data/train/classification_images/46b32d3d-778f-4596-8fe4-9e9157d0d01a.png,29260
minor-damage,3203ee53-fcd6-4e6e-8755-16374581c295,data/train/classification_images/3203ee53-fcd6-4e6e-8755-16374581c295.png,18904
minor-damage,246ea9d5-b8b3-482b-bb95-ddc45f4dafb8,data/train/classification_images/246ea9d5-b8b3-482b-bb95-ddc45f4dafb8.png,18404
destroyed,3ff53464-e505-45eb-91ca-f20a735f4a45,data/train/classification_images/3ff53464-e505-45eb-91ca-f20a735f4a45.png,7605
minor-damage,69ec1529-3566-4c38-987f-0b8e0c39a9c4,data/train/classification_images/69ec1529-3566-4c38-987f-0b8e0c39a9c4.png,4050
major-damage,94c67bc1-b9fa-411b-96c4-4e337a895c05,data/train/classification_images/94c67bc1-b9fa-411b-96c4-4e337a895c05.png,4544
minor-damage,1f4d4b17-ec40-4dcf-bf47-1c8b5d6d9ebb,data/train/classification_images/1f4d4b17-ec40-4dcf-bf47-1c8b5d6d9ebb.png,3944
minor-damage,ffb08892-21f7-42cf-87d7-a18799e4667a,data/train/classification_images/ffb08892-21f7-42cf-87d7-a18799e4667a.png,15808
minor-damage,0a4687c5-8803-43af-8536-a4a5a9ecf76a,data/train/classification_images/0a4687c5-8803-43af-8536-a4a5a9ecf76a.png,16124
minor-damage,4d1eceda-be85-483e-b89a-afa35080c990,data/train/classification_images/4d1eceda-be85-483e-b89a-afa35080c990.png,8658
minor-damage,b94b3626-2156-4817-a1e1-ed9dbdbff19f,data/train/classification_images/b94b3626-2156-4817-a1e1-ed9dbdbff19f.png,7232
minor-damage,1fb1bd08-e31e-4ed9-b095-cc56710dc21d,data/train/classification_images/1fb1bd08-e31e-4ed9-b095-cc56710dc21d.png,8307
minor-damage,c402ba89-2b9e-4b15-8b92-d13bab636e87,data/train/classification_images/c402ba89-2b9e-4b15-8b92-d13bab636e87.png,8584
minor-damage,707a3242-a41a-4122-a9e0-ef6abeb53a64,data/train/classification_images/707a3242-a41a-4122-a9e0-ef6abeb53a64.png,6527
minor-damage,120e4e83-4e42-4917-8cbf-e33a26670afa,data/train/classification_images/120e4e83-4e42-4917-8cbf-e33a26670afa.png,10366
minor-damage,5d6fe21f-5474-4ff5-a079-bf849077778d,data/train/classification_images/5d6fe21f-5474-4ff5-a079-bf849077778d.png,8320
minor-damage,857691b1-46bf-4aaa-a9e5-a8af22efe886,data/train/classification_images/857691b1-46bf-4aaa-a9e5-a8af22efe886.png,3444
minor-damage,f5725fe3-4df3-497e-b723-e6de896172d7,data/train/classification_images/f5725fe3-4df3-497e-b723-e6de896172d7.png,10206
minor-damage,d0341916-6036-45f9-907a-0725caacf6ea,data/train/classification_images/d0341916-6036-45f9-907a-0725caacf6ea.png,12769
minor-damage,32509cd2-4636-4312-b01c-a98f7145b86b,data/train/classification_images/32509cd2-4636-4312-b01c-a98f7145b86b.png,13689
minor-damage,ad812130-7f3f-4867-9e04-11eac1d45edc,data/train/classification_images/ad812130-7f3f-4867-9e04-11eac1d45edc.png,19188
destroyed,26d38d00-9412-44f1-9373-654c40262439,data/train/classification_images/26d38d00-9412-44f1-9373-654c40262439.png,10508
minor-damage,76b9a64c-f7b6-4837-a482-a70f83fa98b5,data/train/classification_images/76b9a64c-f7b6-4837-a482-a70f83fa98b5.png,14231
minor-damage,70c53809-324d-4f82-8709-2c08c1b5493e,data/train/classification_images/70c53809-324d-4f82-8709-2c08c1b5493e.png,11172
minor-damage,a1189425-98ba-407c-8fa4-87912d68dcdb,data/train/classification_images/a1189425-98ba-407c-8fa4-87912d68dcdb.png,17157
minor-damage,f2c64988-9aff-4f56-ae68-e5dd29f4aed6,data/train/classification_images/f2c64988-9aff-4f56-ae68-e5dd29f4aed6.png,13600
minor-damage,4fa50499-0979-4ea4-8332-61dd8c897b98,data/train/classification_images/4fa50499-0979-4ea4-8332-61dd8c897b98.png,19321
minor-damage,4be4f736-1b2b-4450-aaf2-2125b168f244,data/train/classification_images/4be4f736-1b2b-4450-aaf2-2125b168f244.png,7424
minor-damage,9ac0b7c8-2dd5-4e0b-a8c4-c08dedb14b7a,data/train/classification_images/9ac0b7c8-2dd5-4e0b-a8c4-c08dedb14b7a.png,704
minor-damage,374696f7-c909-445a-9056-d5b22c2ecd3a,data/train/classification_images/374696f7-c909-445a-9056-d5b22c2ecd3a.png,12100
minor-damage,cc385a3d-8af5-4232-bd2a-10f6a93c02fe,data/train/classification_images/cc385a3d-8af5-4232-bd2a-10f6a93c02fe.png,24585
