damage,uid
no-damage,7ae792ae-64b5-41ec-be7b-14873c450650
no-damage,4ca98eb5-10bd-4d75-b3b3-3b9012291c1f
no-damage,22e5eb6a-f924-4b27-9cb0-90b112bcfd66
no-damage,e2ef0265-66e4-4104-a1a9-3fa985275a1d
no-damage,e4e531da-2183-440a-9501-66873422625e
no-damage,a86048e4-04f0-4f8a-b88f-bd0892ac046e
no-damage,31f3e656-e218-4253-9299-9efad94bd96a
no-damage,25b9731b-e13b-41fd-960a-5773bc226915
no-damage,5bffb7c0-8c21-4480-abc6-9ba080f24608
no-damage,14b4b8e4-f2da-4210-89d2-e0e4d5a51f90
no-damage,ae46da30-a7ec-4025-81e8-a8d351a18c4d
no-damage,5a3fb1cc-2171-4850-8a01-f162d8e9bfa8
no-damage,5a70feab-98aa-4582-b2b0-b380c63ec526
no-damage,b8659e11-41ea-4836-a4a0-2629c61cc3b6
no-damage,9c857f80-fda1-4c54-b497-25ae518a8d99
no-damage,a17d53bc-8ed3-48ff-9667-08d2d0035917
no-damage,2f495c80-6e45-4787-b1db-dd8c573cd57d
no-damage,e9538a5a-84f1-43c8-9a1e-987023ba9200
no-damage,b70af905-95f5-4d0b-8019-ab01a8ba6940
no-damage,be50deee-333f-4a58-a418-f91c2fe76211
no-damage,a417b494-1378-4087-a66e-47e16bf16cf8
no-damage,ca022649-31c7-4549-b48a-361d235a7e2a
no-damage,737d6bfb-f6b8-402d-9815-8a31a5cdccce
no-damage,2abdee19-c78b-4b11-a9c6-26cfd074511f
no-damage,7d2dc8a5-c089-42e2-b943-76fd428df55e
no-damage,e01b3229-09b1-436c-b198-570796148be6
no-damage,432598b3-bb09-439a-9cc1-dce15e4b6925
no-damage,3bb0c27d-0af0-4479-a6c1-fa3834b80c11
no-damage,c074f5a0-1987-4944-8937-e738c893425a
no-damage,dbf3213c-fc6e-44a6-ad63-cff4553b9baf
no-damage,2a115b9d-0d1f-4018-bd07-275e49edbed7
no-damage,3c8cf71f-af69-4add-9613-ba8226f59ec4
major-damage,674f4960-c8ad-4d32-a5bf-73724c170a3f
minor-damage,c3916f34-8e8a-4911-9532-f26af3de03ac
no-damage,9a1fc55e-3e78-43e0-a514-16f4fb53d8d1
no-damage,2cb9c18c-2b2a-4a3c-a606-fe55b1c43a25
no-damage,12c66db0-4109-4d4b-b89c-e03e760e2421
no-damage,6e8d2347-62b7-4107-8ae9-90c48017c45d
no-damage,679ae1db-d205-48df-9723-857a8649e4e4
no-damage,df4db225-3d8c-41c6-aeff-6ab00e4591e7
no-damage,1ab34bda-0da2-4bf8-a5ff-9f63318290cf
no-damage,42923991-929e-4e2b-956b-32be2879a8b9
no-damage,ce2ee276-ddbe-4079-95a4-474e783a968a
no-damage,d8c291a8-b266-4479-901a-a15ca7951bba
no-damage,1745af8a-08ad-43f7-8045-afa29253c44c
no-damage,25da8335-7f72-4f3a-84fb-1a2adc65b076
no-damage,9e5277c1-2a53-4134-bf93-1e9bea37affc
no-damage,37faba09-1cd9-45cd-8469-53ce729cea3a
no-damage,7be7d8a9-d284-4e42-8793-ce7b7b588219
no-damage,c33a400f-b24e-4114-9c9d-204822f7c84b
no-damage,30965f61-fc2f-42dc-8daf-6fadf0fa8705
no-damage,cb59817e-e8d5-4e44-9368-a5fcc012983e
no-damage,1d60281d-6412-4ba9-bd2b-798f73f35643
no-damage,d544bfd8-e92f-493f-b2d4-3c2ca9dd56ae
no-damage,bdaa9039-ae53-427b-9642-b8453ffa56f3
no-damage,0dc098c5-c07d-434d-b413-b7689e7002a2
no-damage,f190b450-c94c-4554-aa97-d9e81f897dea
no-damage,978f0d12-cb80-4759-9287-f85d1cfda4af
no-damage,b0fe4e65-d11f-44cb-8a72-6e7f14efc11e
no-damage,b0f5bfba-1628-4a42-82bb-1a29403e7c22
no-damage,1a23a54c-000b-4ae5-8377-f879c69f483f
no-damage,dd43a41d-5840-4080-ad93-d6c32e4680b6
no-damage,39a083b4-9fe7-4087-9b84-66f65af9ad7c
no-damage,0d842fe2-b392-4cf6-bb53-c2832718973f
no-damage,1b8b277f-e20b-4f16-9a9d-137ebe72abf9
no-damage,07bca0d0-b753-4a50-aba2-e085dca48e2d
no-damage,e0df6d6f-2065-42af-9e7c-5149ae7c0458
no-damage,a30bfe1f-d258-4d21-befe-23abf83f728d
no-damage,13899240-94b6-4813-8e8c-6db160c68c62
no-damage,b3017054-215d-4a62-b69f-b9c2292a24ff
no-damage,8e150943-54f4-4ca0-b2c2-6610d9824b7c
no-damage,759cc4b6-8ab2-4aaa-b2d2-bbf542b51e28
no-damage,3aad8422-bc3f-4c88-a79b-e27a6a5db6bd
no-damage,1ba025d5-5a56-4767-9444-59d8d1cc488a
no-damage,50791908-b69f-4626-a5a0-ae461cc31422
no-damage,03e6ee52-f9c1-40c9-9d3b-6ede1cbd5420
no-damage,e5f030dc-b62a-40ce-9079-25891e4cb92e
no-damage,81b51403-6604-4234-9e67-0d307e71ccba
no-damage,6b58587c-88c3-4fa5-857c-56feeb1899d2
no-damage,a7a0d097-3142-4479-8674-57906048a387
no-damage,97b2ffab-1021-40d3-9610-dba26da1b37b
no-damage,b0ad206f-056c-4c3b-8d5b-9ee32f976eb9
no-damage,7c3db6c8-6d01-420c-8b20-f72d2a7b0d59
no-damage,df9ba9c5-982b-40ff-ba7b-47089efa3ba4
no-damage,47e9a4a0-36cf-46c3-8ac2-553b0c4268b5
no-damage,c921105a-030a-4b7e-89e1-4e09cc6ceb62
no-damage,5d6a4272-e605-4a4c-b0ab-90b91bc7647e
no-damage,bf965ba8-0ccf-44cb-8cdd-64afd4c7c362
no-damage,72a0c915-b7b9-4fbe-8c9d-2e9fe1b544b6
no-damage,aa2bae4e-52d5-49df-b49e-11c6a05ce6fa
no-damage,2eccf1c7-fd4b-49b6-a9ad-145de27ccbbe
no-damage,50c466e7-fb81-4126-8d04-4f4539b52261
no-damage,5db131de-a6f4-4f36-a552-592deaa009bc
no-damage,6ace194a-ced5-4b58-83cb-2c3a4c73e604
major-damage,1337a97b-778a-46ff-8647-6810801e84ee
major-damage,6a21bd8c-6f33-4e61-b202-e75dffd857fe
